Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
87056,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
89348,Segnalazioni,Arredo urbano,Panchine,Danneggiate/imbrattate
89117,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
89118,Segnalazioni,Verde pubblico,Aree verdi,
89121,Segnalazioni,Verde pubblico,Aree verdi,
85522,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85523,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
85524,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85528,Segnalazioni,Degrado sociale,Segnalazioni,Nomadi
85530,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85531,Segnalazioni,Degrado urbano,Piazze/strade,Imbrattate
85554,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
85556,Segnalazioni,Degrado sociale,Segnalazioni,Bande giovanili
85557,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
85559,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,
85561,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85566,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
85571,Segnalazioni,Degrado ambientale,Dissesto idro-geologico,
85577,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85579,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85598,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
85603,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85618,Segnalazioni,Viabilità e traffico,Zone con restrizione alla circolazione,Aree pedonali/fittonate
85640,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
85653,Segnalazioni,Degrado urbano,Parcheggi pubblici,
85659,Segnalazioni,Degrado urbano,Parcheggi pubblici,
85661,Segnalazioni,Viabilità e traffico,Passi carrai,Occupati
85687,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85691,Segnalazioni,,,
85695,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
85701,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
85705,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
85714,Segnalazioni,Degrado ambientale,Neve,
85716,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
85729,Segnalazioni,Degrado sociale,Segnalazioni,Prostituzione
85732,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85751,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",
85753,Segnalazioni,,,
85772,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
85794,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85796,Segnalazioni,,,
85798,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85801,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85810,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Pulizia strade
85838,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
85845,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85854,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
85864,Segnalazioni,Viabilità e traffico,Semafori e sistemi di controllo accessi,Carenti
85865,Richieste di informazioni,,,
85872,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85877,Segnalazioni,,,
85888,Segnalazioni,Verde pubblico,Alberi/rami,Carenti
85891,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
85894,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
85896,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
85906,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85907,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
85911,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85914,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
85915,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
85918,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
85920,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85923,Segnalazioni,Arredo urbano,Contenitori rifiuti,Carenti
85925,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
85926,Segnalazioni,Verde privato,,
85929,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
85933,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
85934,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
85944,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
85962,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Richiesta rimozione
85979,Segnalazioni,Arredo urbano,Cartelli toponomastici,Numeri civici
85980,Segnalazioni,Degrado urbano,Edifici privati,Imbrattati
85984,Segnalazioni,Animali,Cani,Presenze
85986,Segnalazioni,Degrado urbano,Piste ciclabili,Carenti
85987,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85993,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85994,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
85995,Segnalazioni,Attività produttive,Laboratori artigianali,Abusivismo
85999,Segnalazioni,Animali,Cani,Presenze
86011,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
86014,Segnalazioni,Verde privato,Alberi/rami,
86025,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86028,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86029,Segnalazioni,Degrado sociale,Segnalazioni,Senza fissa dimora
86031,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Deiezioni cani
86032,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86035,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86036,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86037,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86038,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86047,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
86049,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,
86053,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86062,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86064,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86065,Segnalazioni,,,
86068,Segnalazioni,Animali,Roditori,Presenze
86069,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86070,Segnalazioni,Verde privato,Alberi/rami,Invadenti
86079,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86082,Segnalazioni,,,
86090,Segnalazioni,Arredo urbano,Bacheche,Danneggiate/incuria
86099,Segnalazioni,Verde privato,Siepi,Invadenti
86102,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
86109,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
86123,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86135,Segnalazioni,Microcriminalità,Vandalismi,
86136,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86144,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti ingombranti
86145,Segnalazioni,Verde privato,Aree verdi,Incuria
86148,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86153,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
86156,Segnalazioni,,,
86159,Segnalazioni,,,
86161,Segnalazioni,Verde pubblico,Aree verdi,
86162,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86168,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86175,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86195,Segnalazioni,Verde pubblico,Alberi/rami,Carenti
86200,Segnalazioni,Verde privato,Alberi/rami,
86202,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86203,Segnalazioni,Viabilità e traffico,Circolazione,Modifica assetto circolatorio
86204,Segnalazioni,Verde pubblico,Siepi/aiuole,Carenti
86217,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86220,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86221,Segnalazioni,,,
86239,Segnalazioni,Microcriminalità,Videosorveglianza,
86241,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86245,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86251,Segnalazioni,Viabilità e traffico,Circolazione,
86258,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
86274,Segnalazioni,,,
86280,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86281,Segnalazioni,Attività produttive,,
86285,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86300,Segnalazioni,,,
86312,Segnalazioni,Animali,Cani,Presenze
86326,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Pulizia strade
86335,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86336,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86341,Segnalazioni,,,
86342,Segnalazioni,Attività produttive,,
86368,Segnalazioni,Arredo urbano,Impianti sportivi,Danneggiati/incuria
86369,Segnalazioni,Viabilità e traffico,Trasporto Pubblico,Fermate autobus
86371,Segnalazioni,Animali,Cani,Presenze
86373,Segnalazioni,Animali,Cani,Presenze
86390,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86392,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86393,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86399,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,
86412,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86425,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86436,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86437,Segnalazioni,,,
86440,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86446,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
86458,Segnalazioni,Degrado urbano,Edifici privati,Danneggiati
86464,Segnalazioni,Degrado ambientale,Inquinamento atmosferico,Amianto
86475,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
86476,Segnalazioni,Degrado sociale,Segnalazioni,Prostituzione
86477,Segnalazioni,,,
86488,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86494,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
86495,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
86503,Segnalazioni,Arredo urbano,Segnaletica verticale non ai sensi del CdS,Danneggiata/imbrattata
86512,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
86523,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
86528,Segnalazioni,Animali,Cani,Presenze
86533,Segnalazioni,,,
86537,Segnalazioni,,,
86539,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Deiezioni cani
86562,Segnalazioni,Degrado ambientale,,
86565,Segnalazioni,Viabilità e traffico,,
86586,Segnalazioni,Animali,Uccelli,Presenze
86594,Segnalazioni,Animali,Roditori,Presenze
86599,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86604,Segnalazioni,Animali,Roditori,Presenze
86608,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86609,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
86611,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86613,Segnalazioni,Degrado ambientale,Inquinamento atmosferico,Emissioni da impianti termici/condizionatori
86614,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86622,Segnalazioni,,,
86631,Segnalazioni,,,
86632,Segnalazioni,,,
86633,Segnalazioni,Degrado sociale,Segnalazioni,Bande giovanili
86647,Segnalazioni,,,
86648,Segnalazioni,,,
86650,Segnalazioni,Arredo urbano,Cartelloni pubblicitari,Danneggiati/incuria
86655,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86667,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86673,Segnalazioni,Verde privato,Alberi/rami,Invadenti
86677,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da piccioni
86684,Segnalazioni,Servizi comunali,Servizi online,
86687,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
86690,Segnalazioni,Animali,Roditori,Presenze
86694,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86696,Manutenzione interna,,,
86708,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,
86715,Segnalazioni,Arredo urbano,Recinzioni in muratura,
86739,Segnalazioni,Animali,Roditori,Presenze
86740,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86744,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86748,Manutenzione interna,,,
86766,Segnalazioni,,,
86768,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
86776,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86787,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
86820,Segnalazioni,Animali,Cani,Presenze
86826,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86829,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
86831,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
86833,Segnalazioni,Verde pubblico,Alberi/rami,Carenti
86836,Segnalazioni,Verde privato,Alberi/rami,Invadenti
86837,Segnalazioni,Degrado urbano,Cantieri edili,Abbandonati
86838,Richieste di informazioni,,,
86839,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86847,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
86848,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
86849,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86850,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86851,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86852,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86855,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
86872,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86874,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86879,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86885,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
86886,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
86889,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
86891,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
86902,Segnalazioni,Degrado urbano,,
86910,Richieste di informazioni,,,
86914,Segnalazioni,Degrado urbano,,
86919,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
86928,Segnalazioni,,,
86929,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
86933,Segnalazioni,,,
86934,Segnalazioni,Servizi comunali,Servizi online,
86935,Segnalazioni,,,
86946,Segnalazioni,,,
86958,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
86959,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
86965,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
86966,Segnalazioni,Degrado urbano,,
86971,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
86972,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
86975,Segnalazioni,Microcriminalità,Vandalismi,
86977,Segnalazioni,Arredo urbano,Contenitori rifiuti,
87003,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
87007,Segnalazioni,Arredo urbano,Contenitori rifiuti,Da spostare
87013,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
87020,Segnalazioni,,,
87029,Richieste di informazioni,,,
87035,Segnalazioni,,,
87040,Segnalazioni,,,
87042,Segnalazioni,,,
87043,Segnalazioni,,,
87045,Segnalazioni,,,
87049,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
87062,Segnalazioni,Arredo urbano,Contenitori rifiuti,Da spostare
87069,Manutenzione interna,,,
87076,Segnalazioni,,,
87080,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87081,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
87082,Segnalazioni,Servizi comunali,Servizi cimiteriali,
87087,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
87090,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87103,Segnalazioni,,,
87104,Segnalazioni,,,
87114,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87116,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87117,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
87119,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
87121,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87138,Segnalazioni,,,
87145,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,
87179,Segnalazioni,Arredo urbano,Recinzioni in legno/rete,Danneggiate/incuria
87185,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
87189,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
87193,Segnalazioni,,,
87199,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
87202,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
87205,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
87209,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
87212,Segnalazioni,Animali,Roditori,Presenze
87213,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
87216,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87220,Segnalazioni,Arredo urbano,Bacheche,Carenti
87228,Segnalazioni,,,
87232,Segnalazioni,Animali,Cani,Presenze
87234,Segnalazioni,,,
87238,Segnalazioni,Degrado urbano,Cantieri edili,Inquinanti/rumorosi
87249,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
87261,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Carente
87265,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
87275,Segnalazioni,Servizi comunali,,
87280,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
87299,Segnalazioni,Arredo urbano,Giochi bimbi,Carenti
87306,Segnalazioni,Arredo urbano,Bacheche,Danneggiate/incuria
87325,Segnalazioni,Degrado urbano,Edifici pubblici,Imbrattati
87332,Segnalazioni,,,
87341,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87345,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87353,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
87357,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
87360,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
87361,Richieste di informazioni,,,
87384,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87386,Manutenzione interna,,,
87391,Segnalazioni,Arredo urbano,Contenitori rifiuti,Danneggiati
87392,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
87395,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87396,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
87402,Segnalazioni,Animali,Cani,Presenze
87405,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
87408,Segnalazioni,Viabilità e traffico,Circolazione,Modifica assetto circolatorio
87420,Segnalazioni,Animali,Uccelli,Presenze
87442,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
87443,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Carenti
87446,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
87465,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
87478,Manutenzione interna,,,
87479,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87493,Segnalazioni,Servizi comunali,Altri servizi,
87494,Segnalazioni,Degrado ambientale,Inquinamento acustico,Rumore da infrastrutture
87495,Segnalazioni,Servizi comunali,Altri servizi,
87501,Segnalazioni,,,
87505,Segnalazioni,,,
87516,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
87521,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
87525,Segnalazioni,Arredo urbano,Monumenti/lapidi,Danneggiati/imbrattati
87527,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
87530,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
87534,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
87552,Segnalazioni,Degrado sociale,Segnalazioni,Mendicanti
87561,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87563,Segnalazioni,,,
87572,Segnalazioni,Animali,Roditori,Presenze
87581,Segnalazioni,Arredo urbano,Recinzioni in legno/rete,Danneggiate/incuria
87591,Segnalazioni,Servizi comunali,Altri servizi,
87622,Segnalazioni,Degrado sociale,Segnalazioni,Nomadi
87635,Segnalazioni,Verde privato,Alberi/rami,Invadenti
87636,Segnalazioni,Verde privato,Aree verdi,Incuria
87639,Manutenzione interna,,,
87652,all'altezza di via della Barca civico 22/12 Ã¨ posto il segnale di divieto di sosta e di fermata. Il punto Ã¨ molto nevralgico perchÃ© prima di un incrocio stradale. Via della Barca da diversi anni a questa parte Ã¨ un'arteria con grosse criticitÃ  di traffico specialmente nelle ore di punta e tale rimarrÃ  se non si vuole attuare un nuovo piano regolatore semplicemente modificando le direzioni nelle vie laterali. Ad oggi nelle ore di punta per i mezzi di soccorso Ã¨ impossibile transitare e per le strade laterali Ã¨ difficile e pericoloso accedere. Con questa segnalazione si vuole chiedere di intervenire immediatamente almeno nel sanzionare le autovetture che quotidianamente stazionano fisse nella suddetta zona. Sperando che le prime multe possono dissuadere ulteriori successivi parcheggi impropri. Certo di un vostro immediato impegno porgo distinti saluti. ,Segnalazioni,Viabilità e traffico,Circolazione
87653,Segnalazioni,,,
87654,Segnalazioni,,,
87672,Richieste di informazioni,,,
87675,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87678,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Carenti
87680,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
87682,Segnalazioni,,,
87697,Segnalazioni,Attività produttive,AttivitÃ  commerciali,Abusivismo
87703,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
87704,Segnalazioni,Microcriminalità,Comportamenti sanzionabili,Sfruttamento della prostituzione
87707,Segnalazioni,Degrado ambientale,Inquinamento acustico,Privati
87708,Segnalazioni,Degrado urbano,Cantieri edili,Non/mal segnalati
87711,Segnalazioni,Arredo urbano,Contenitori rifiuti,Danneggiati
87713,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87714,Segnalazioni,,,
87726,Segnalazioni,,,
87730,Segnalazioni,Animali,Insetti,Processionaria del pino
87745,Segnalazioni,,,
87749,Segnalazioni,,,
87750,Segnalazioni,,,
87756,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87757,Segnalazioni,Attività produttive,Laboratori artigianali,Problemi igienico sanitari
87767,Segnalazioni,Animali,Roditori,Presenze
87779,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
87791,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
87795,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
87800,Segnalazioni,Animali,Cani,Presenze
87810,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
87815,Segnalazioni,Verde privato,Aree verdi,Incuria
87823,Segnalazioni,Servizi comunali,Servizi online,
87825,Segnalazioni,Degrado sociale,Segnalazioni,Nomadi
87826,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
87835,Segnalazioni,,,
87839,Segnalazioni,,,
87841,Segnalazioni,,,
87845,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87856,Segnalazioni,,,
87857,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
87861,Segnalazioni,Animali,Roditori,Presenze
87865,Segnalazioni,,,
87868,Segnalazioni,Arredo urbano,Giochi bimbi,Carenti
87873,Segnalazioni,Arredo urbano,Contenitori rifiuti,Carenti
87874,Manutenzione interna,,,
87876,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87881,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
87886,Segnalazioni,Arredo urbano,Giochi bimbi,Carenti
87890,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
87893,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
