Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
93859,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
93864,Segnalazioni,Arredo urbano,Contenitori rifiuti,Da spostare
93867,Segnalazioni,Arredo urbano,Rastrelliere,Carenti
93868,Segnalazioni,,,
93871,Segnalazioni,Attività produttive,Pubblici esercizi,Inquinamento atmosferico
93873,Segnalazioni,Arredo urbano,Pensiline autobus,Danneggiate/imbrattate
93874,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
93878,Segnalazioni,Verde privato,Siepi,Invadenti
93880,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
93885,Segnalazioni,Arredo urbano,Contenitori rifiuti,Maleodoranti/stracolmi
93887,Segnalazioni,,,
93888,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
93890,Segnalazioni,Microcriminalità,Comportamenti sanzionabili,
93891,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
93895,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
93897,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,
93899,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Imbrattati/sporchi
93903,Segnalazioni,,,
93904,Segnalazioni,,,
93905,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
93907,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
93909,Segnalazioni,Degrado ambientale,Inquinamento acustico,Privati
93913,Segnalazioni,Viabilità e traffico,Circolazione,Modifica assetto circolatorio
93914,Segnalazioni,Animali,Uccelli,Presenze
93915,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
93918,Segnalazioni,Degrado sociale,Segnalazioni,Tossicodipendenti
93919,Segnalazioni,Degrado ambientale,Inquinamento acustico,Rumore da infrastrutture
93920,Segnalazioni,Verde pubblico,Vegetazione spontanea,
93921,Segnalazioni,Microcriminalità,Vandalismi,
93923,Segnalazioni,Degrado sociale,Conflitti,Fra adulti/fra vicini
