X,Y,NUMPROG,CODVIA,CIVICO,SUBCIV,PRINCIPA,CODARCO,CODEDIF,PARTKEY,NCIVSUB,CIVKEY,X_T,Y_T,DATA_ISTI,DATA_CESS,CAP,SERV_RSU,DENOMINAZI,SEZ81,SEZ91,SEZ01,QUARTIERE,ZONA,ISOLATO,MESSI,CODLOTTO,SEZ2011,LOC2011,LOC11_NOME,ID_ENTE,SEZIONE,PLESSO,INDIRIZZO,ACCESSO
687281.505386815,4928661.47895209,12283,19200,5,,1,1568,32109,A944_ 205  130,5,192000005000,687365.1850000001,928860.1070000000,19000101,,40125,,VIA DANTE,98,1235,1245,Santo Stefano,G,G076,Z2A,0,1245,10002,BOLOGNA,A944,155-156-157-160-162,SCUOLA G. CARDUCCI,"VIA DANTE, 5",si
686652.913019084,4928895.19880752,12917,14700,38,,1,9771,30106,A944_ 203  443,38,147000038000,686736.5800000000,929093.8200000001,19000101,,40124,,VIA CASTIGLIONE,46,1193,1271,Santo Stefano,G,G039,Z2B,0,1271,10002,BOLOGNA,A944,138-139-142-143-147,LICEO L. GALVANI,"VIA CASTIGLIONE, 38",no
687174.508209983,4929342.90777639,13255,8850,8,,1,4400,24867,A944_ 204   64,8,088500008000,687258.1800000001,929541.5500000000,19660624,,40125,,VICOLO BOLOGNETTI,56,1455,1550,Santo Stefano,H,H058,Z1A,0,1550,10002,BOLOGNA,A944,88-90-91-92-93-94-95,SCUOLA A. ZAMBONI,"VICOLO BOLOGNETTI, 8",no
687175.05197818,4929317.74336739,13257,8850,10,,1,4400,24867,A944_ 204   64,10,088500010000,687258.7240000000,929516.3850000000,19660624,,40125,,VICOLO BOLOGNETTI,56,1455,1550,Santo Stefano,H,H058,Z1A,0,1550,10002,BOLOGNA,A944,84-85-86-87-89-103-104,SCUOLA MEDIA G. RENI,"VICOLO BOLOGNETTI, 10",si
686738.898015861,4930353.46627307,13656,22950,2,,1,3079,16595,A944_ 162  195,2,229500002000,686822.5530000000,930552.1240000000,19670630,,40126,,VIA ANGELO FINELLI,91,1468,1460,Santo Stefano,H,H069,Z1C,0,1460,10002,BOLOGNA,A944,96-97,SCUOLA MEDIA IRNERIO,"VIA ANGELO FINELLI, 2",no
686235.384687108,4929404.65489155,16893,33300,6,,1,1247,23915,A944_ 188  420,6,333000006000,686319.0400000000,929603.2800000000,19451023,,40124,,PIAZZA MAGGIORE,1,1861,1954,Porto - Saragozza,L,L001,Z2C,0,1954,10002,BOLOGNA,A944,1,PALAZZO COMUNALE,"PIAZZA MAGGIORE, 6",si
685785.744567959,4928998.48150969,17160,52950,9,,1,906,28485,A944_ 200  354,9,529500009000,685869.3959999999,929197.0880000000,19000101,,40123,,VIA SARAGOZZA,12,1891,1987,Porto - Saragozza,L,L031,Z3C,0,1987,10002,BOLOGNA,A944,5-140-141-190-191-192-196,ISTITUTO P. CRESCENZI-L. TANARI,"VIA SARAGOZZA, 9",no
685843.627532155,4929100.42192543,17161,56350,2,,1,919,28485,A944_ 200  354,2,563500002000,685927.2790000000,929299.0320000000,19000101,,40123,,VICOLO STRADELLACCIO,12,1891,1987,Porto - Saragozza,L,L031,Z3C,0,1987,10002,BOLOGNA,A944,2-3-4,LICEO MINGHETTI (SUCC.),"VICOLO STRADELLACCIO, 2",no
685220.479393796,4929135.50142979,16504,44950,3,,1,8712,27986,A944_ 198   79,3,449500003000,685304.1200000000,929334.1000000000,19000101,,40123,,VIALE CARLO PEPOLI,80,1918,1976,Porto - Saragozza,L,L054,Z3C,0,1976,10002,BOLOGNA,A944,9-11-18-19-20,LICEO A. RIGHI,"VIALE CARLO PEPOLI, 3",si
683094.768147675,4931294.63240457,17034,26800,39,,1,2759,11620,A944_ 107  915,39,268000039000,683178.3500000000,931493.2400000000,19351116,,40133,,VIA DEL GIACINTO,177,867,894,Borgo Panigale - Reno,S,S015,Z14B,0,894,10002,BOLOGNA,A944,206-207-208-209,SCUOLA MEDIA ZANOTTI,"VIA DEL GIACINTO, 39",si
685400.008881291,4929405.56141429,17535,30450,37,,1,4356,24241,A944_ 186  220,37,304500037000,685483.6500000000,929604.1700000000,19000101,,40123,,VIA S.ISAIA,31,1904,1945,Porto - Saragozza,L,L044,Z3B,0,1945,10002,BOLOGNA,A944,14-15-16,ISTITUTO L. BASSI,"VIA SANT'ISAIA, 37",si
685510.358621926,4929256.91178377,17315,14100,11,,1,4351,26654,A944_ 199  324,11,141000011000,685594.0030000000,929455.5190000000,19720926,,40123,,VIA CA' SELVATICA,15,1896,1975,Porto - Saragozza,L,L036,Z3C,0,1975,10002,BOLOGNA,A944,6-7-8-10-12-13,SCUOLA MEDIA GUINIZELLI,"VIA CA' SELVATICA, 11",si
686344.28299375,4930458.89758965,17858,25200,74,,1,6470,16316,A944_ 159   51,74,252000074000,686427.9300000001,930657.5500000000,19000101,,40121,,VIA GALLIERA,89,646,612,Porto - Saragozza,M,M071,Z4B,0,612,10002,BOLOGNA,A944,45-49-50-53-54-58-60-62,SCUOLA E. DE AMICIS,"VIA MONTEBELLO, 13",si
685307.106922052,4930095.60674838,18836,11800,8,,1,8798,18791,A944_ 157  403,8,118000008000,685390.7400000000,930294.2300000000,19000101,,40122,,VIA LUIGI CALORI,85,627,658,Porto - Saragozza,M,M053,Z3A,0,658,10002,BOLOGNA,A944,48-56-57-75-81,SCUOLA GUIDI,"VIA LUIGI CALORI, 8",si
685354.78764701,4930046.85697017,18837,28850,8,,1,8794,18791,A944_ 157  403,8,288500008000,685438.4220000000,930245.4800000000,19000101,,40122,,VIA GRAZIANO,85,627,658,Porto - Saragozza,M,M053,Z3A,0,658,10002,BOLOGNA,A944,46-47-51-52-55,SCUOLA MEDIA G.B. GANDINO,"VIA GRAZIANO, 8",no
689854.72525996,4927169.01671481,19218,3300,33,,1,9449,38467,A944_ 279 1043,33,033000033000,689938.4600000000,927367.6600000000,19610913,,40139,,VIA ARNO,514,2002,2118,Savena,N,N065,Z10C,0,2118,10002,BOLOGNA,A944,390-391-396-397-398-406-407-408-409-410,SCUOLA J. PIAGET,"VIA ARNO, 33",si
685949.068400585,4930149.58274479,18395,35200,38,,1,3047,17743,A944_ 158  103,38,352000038000,686032.7120000001,930348.2200000000,19490424,,40122,,VIA GUGLIELMO MARCONI,34,601,627,Porto - Saragozza,M,M029,Z4B,0,627,10002,BOLOGNA,A944,59-61-79-80,ISTITUTO ALDROVANDI-RUBBIANI,"VIA GUGLIELMO MARCONI, 38",si
689420.210659345,4928179.52115962,19084,5150,2,,1,2227,34517,A944_ 244 1115,2,051500002000,689503.9300000001,928378.1800000001,19610922,,40139,,VIA LORENZO BARTOLINI,511,1994,2026,Savena,N,N057,Z10B,0,2026,10002,BOLOGNA,A944,373-374-376-377-378-379-380-388-389-395,SCUOLA VISCARDI,"VIA LORENZO BARTOLINI, 2",no
689758.292105462,4926590.13245185,19758,32510,4,,1,4462,39412,A944_ 277   26,4,325100004000,689842.0300000000,926788.7600000000,19850619,,40139,,VIA LUIGI LONGO,533,2038,2155,Savena,N,N098A,Z11C,0,2155,10002,BOLOGNA,A944,392-399-400-417-418-420-421,SCUOLA MEDIA IL GUERCINO,"VIA LUIGI LONGO, 4",si
690213.068676954,4926826.02882384,19760,50780,21,,1,9451,39096,A944_ 277  271,21,507800021000,690296.8120000000,927024.6710000000,19740825,,40139,,VIALE ROMA,533,2038,2155,Savena,N,N098A,Z11C,0,2155,10002,BOLOGNA,A944,411,ISTITUTO GIOVANNI XXIII,"VIALE ROMA, 21",si
